month,total_deals,total_revenue,avg_deal_size,upsell_count,upsell_rate_percentage
2025-01-01 00:00:00+00:00,9,280000.0,31111.11111111111,0,0.0
2025-02-01 00:00:00+00:00,12,285000.0,23750.0,3,25.0
2025-03-01 00:00:00+00:00,8,150000.0,18750.0,3,37.5
2025-04-01 00:00:00+01:00,16,370000.0,23125.0,3,18.75
2025-05-01 00:00:00+01:00,10,215000.0,21500.0,4,40.0
2025-06-01 00:00:00+01:00,22,435000.0,19772.727272727272,7,31.82
2025-07-01 00:00:00+01:00,16,370000.0,23125.0,4,25.0
2025-08-01 00:00:00+01:00,17,385000.0,22647.058823529413,4,23.53
2025-09-01 00:00:00+01:00,21,490000.0,23333.333333333332,5,23.81
2025-10-01 00:00:00+01:00,32,675000.0,21093.75,7,21.88
2025-11-01 00:00:00+00:00,32,725000.0,22656.25,9,28.13
